Date Time Inlet_Pressure Outlet_Pressure Confining_Pressure Temperature
17.11.2020 07:28:12 102.75 0 202.78 13.9
17.11.2020 07:28:13 102.73 0 202.76 13.9
17.11.2020 07:28:14 102.73 0 202.78 13.9
17.11.2020 07:28:15 102.73 0 202.76 13.9
17.11.2020 07:28:17 102.73 0 202.76 13.9
17.11.2020 07:28:18 102.75 0 202.76 13.9
17.11.2020 07:28:20 102.76 0 202.76 13.9
17.11.2020 07:28:21 102.75 0 202.76 13.9
17.11.2020 07:28:23 102.76 0 202.76 13.9
17.11.2020 07:28:24 102.73 0 202.76 13.9
17.11.2020 07:28:26 102.76 0 202.76 13.9
17.11.2020 07:28:27 102.71 0 202.76 13.9
17.11.2020 07:28:29 102.75 0 202.76 13.9
17.11.2020 07:28:30 102.75 0 202.76 13.9
17.11.2020 07:28:32 102.71 0 202.76 13.9
17.11.2020 07:28:33 102.75 0 202.75 13.9
17.11.2020 07:28:35 102.75 0 202.75 13.9
17.11.2020 07:28:36 102.72 0 202.73 13.9
17.11.2020 07:28:38 102.73 0.01 202.73 13.9
17.11.2020 07:28:39 102.72 0 202.73 13.9
17.11.2020 07:28:41 102.73 0.01 202.73 13.9
17.11.2020 07:28:42 102.72 0 202.73 13.9
17.11.2020 07:28:44 102.73 0 202.71 13.9
17.11.2020 07:28:45 102.72 0 202.71 13.9
17.11.2020 07:28:47 102.73 0 202.71 13.9
17.11.2020 07:28:48 102.76 0 202.7 13.8
17.11.2020 07:28:50 102.73 0 202.7 13.8
17.11.2020 07:28:51 102.76 0 202.7 13.8
17.11.2020 07:28:53 102.76 0.01 202.7 13.8
17.11.2020 07:28:54 102.73 0 202.7 13.8
17.11.2020 07:28:56 102.76 0 202.7 13.8
17.11.2020 07:28:57 102.71 0.01 202.7 13.8
17.11.2020 07:28:59 102.73 0 202.7 13.8
17.11.2020 07:29:00 102.73 0 202.7 13.8
17.11.2020 07:29:02 102.77 0.01 202.7 13.9
17.11.2020 07:29:03 102.75 0 202.7 13.9
17.11.2020 07:29:05 102.73 0 202.7 13.9
17.11.2020 07:29:06 102.75 0 202.7 13.9
17.11.2020 07:29:08 102.72 0 202.7 13.9
17.11.2020 07:29:09 102.73 0.01 202.68 13.9
17.11.2020 07:29:11 102.75 0 202.7 13.9
17.11.2020 07:29:12 102.73 0 202.7 13.9
17.11.2020 07:29:14 102.75 0 202.68 13.9
17.11.2020 07:29:15 102.73 -0.01 202.7 13.9
17.11.2020 07:29:17 102.73 0 202.92 13.9
17.11.2020 07:29:18 95.38 0 202.95 13.9
17.11.2020 07:29:20 95.58 0 202.95 13.9
17.11.2020 07:29:21 95.82 0 202.96 13.9
17.11.2020 07:29:23 95.98 0 202.96 13.9
17.11.2020 07:29:24 96.11 0.01 202.98 13.9
17.11.2020 07:29:26 96.17 0 202.98 13.9
17.11.2020 07:29:27 96.22 0.01 202.98 13.9
17.11.2020 07:29:29 96.25 0 203 13.9
17.11.2020 07:29:30 96.28 0 202.98 13.9
17.11.2020 07:29:32 96.26 0.01 203 13.9
17.11.2020 07:29:33 96.3 0 203.01 13.9
17.11.2020 07:29:35 96.28 0.01 203.03 13.9
17.11.2020 07:29:36 96.27 0 203.01 13.9
17.11.2020 07:29:38 96.27 0.01 203.01 13.9
17.11.2020 07:29:39 96.25 0.01 203.03 13.9
17.11.2020 07:29:41 96.23 0.01 203.03 13.9
17.11.2020 07:29:42 96.23 0 203.04 13.9
17.11.2020 07:29:44 96.22 0.02 203.04 13.9
17.11.2020 07:29:45 96.2 0.02 203.03 13.9
17.11.2020 07:29:47 96.17 0.03 203.03 13.9
17.11.2020 07:29:48 96.17 0.06 203.03 13.9
17.11.2020 07:29:50 96.15 0.04 203.04 13.9
17.11.2020 07:29:51 96.15 0.06 203.03 13.9
17.11.2020 07:29:53 96.12 0.07 203.04 13.9
17.11.2020 07:29:54 96.11 0.08 203.03 13.9
17.11.2020 07:29:56 96.1 0.09 203.04 13.9
17.11.2020 07:29:57 96.11 0.09 203.03 13.9
17.11.2020 07:29:59 96.08 0.1 203.04 13.9
17.11.2020 07:30:00 96.06 0.11 203.03 13.9
17.11.2020 07:30:02 96.05 0.12 203.04 13.9
17.11.2020 07:30:03 96.06 0.14 203.04 13.9
17.11.2020 07:30:05 96.03 0.13 203.04 13.9
17.11.2020 07:30:06 96.02 0.15 203.04 13.9
17.11.2020 07:30:08 96.02 0.15 203.04 13.9
17.11.2020 07:30:09 95.98 0.17 203.04 13.9
17.11.2020 07:30:11 95.97 0.17 203.04 13.9
17.11.2020 07:30:12 95.98 0.2 203.03 13.9
17.11.2020 07:30:14 95.97 0.19 203.03 13.9
17.11.2020 07:30:15 95.95 0.21 203.03 13.9
17.11.2020 07:30:17 95.92 0.22 203.03 13.9
17.11.2020 07:30:18 95.92 0.22 203.04 13.9
17.11.2020 07:30:23 95.9 0.25 203.03 13.9
17.11.2020 07:30:28 95.87 0.28 203.03 13.9
17.11.2020 07:30:33 95.82 0.33 203.01 13.9
17.11.2020 07:30:38 95.76 0.37 203.01 13.9
17.11.2020 07:30:43 95.73 0.39 203.01 13.9
17.11.2020 07:30:48 95.7 0.42 203 13.9
17.11.2020 07:30:53 95.66 0.47 202.98 13.9
17.11.2020 07:30:58 95.6 0.5 202.98 13.9
17.11.2020 07:31:03 95.57 0.53 202.98 13.9
17.11.2020 07:31:08 95.53 0.57 202.98 13.9
17.11.2020 07:31:13 95.51 0.61 202.98 13.9
17.11.2020 07:31:18 95.46 0.65 202.98 13.9
17.11.2020 07:31:23 95.4 0.69 202.98 13.9
17.11.2020 07:31:28 95.37 0.71 202.96 13.9
17.11.2020 07:31:33 95.35 0.75 202.95 13.9
17.11.2020 07:31:38 95.3 0.79 202.95 13.9
17.11.2020 07:31:43 95.22 0.82 202.95 13.9
17.11.2020 07:31:48 95.21 0.86 202.95 13.9
17.11.2020 07:31:58 95.12 0.94 202.95 13.9
17.11.2020 07:32:08 95.03 1.02 202.93 13.9
17.11.2020 07:32:18 94.97 1.07 202.92 13.9
17.11.2020 07:32:28 94.86 1.15 202.92 13.9
17.11.2020 07:32:38 94.77 1.24 202.89 13.9
17.11.2020 07:32:48 94.71 1.31 202.89 13.9
17.11.2020 07:32:58 94.62 1.38 202.89 13.8
17.11.2020 07:33:08 94.55 1.45 202.89 13.8
17.11.2020 07:33:18 94.47 1.51 202.89 13.8
17.11.2020 07:33:28 94.37 1.6 202.87 13.8
17.11.2020 07:33:38 94.3 1.68 202.85 13.8
17.11.2020 07:33:48 94.2 1.76 202.84 13.8
17.11.2020 07:33:58 94.13 1.82 202.82 13.8
17.11.2020 07:34:08 94.03 1.9 202.82 13.8
17.11.2020 07:34:18 93.97 1.96 202.82 13.8
17.11.2020 07:34:28 93.87 2.03 202.82 13.8
17.11.2020 07:34:38 93.78 2.11 202.81 13.8
17.11.2020 07:34:48 93.7 2.17 202.79 13.8
17.11.2020 07:34:58 93.61 2.26 202.81 13.8
17.11.2020 07:35:08 93.51 2.34 202.79 13.8
17.11.2020 07:35:18 93.46 2.41 202.78 13.8
17.11.2020 07:35:28 93.37 2.5 202.78 13.8
17.11.2020 07:35:38 93.28 2.57 202.78 13.8
17.11.2020 07:35:48 93.21 2.63 202.78 13.7
17.11.2020 07:35:58 93.12 2.71 202.78 13.7
17.11.2020 07:36:08 93.02 2.79 202.76 13.7
17.11.2020 07:36:18 92.96 2.85 202.76 13.7
