Date Time Temperature Temperature_Out Temperature_In Inlet_Pressure Outlet_Pressure Confining_Pressure_Reactor Confining_Pressure_Sample
27.01.2023 09:54:50 14.3 13.9 14 12.13 0.003 21.49 12.52
27.01.2023 09:55:00 14.4 13.9 14 12.12 -0.001 21.49 12.53
27.01.2023 09:55:10 14.3 13.9 14 12.1 0 21.49 12.53
27.01.2023 09:55:20 14.2 13.9 14 12.12 -0.003 21.48 12.54
27.01.2023 09:55:30 14.4 13.9 14 12.12 0.001 21.48 12.54
27.01.2023 09:55:40 14.4 13.9 14 12.12 -0.001 21.48 12.54
27.01.2023 09:55:50 14.4 13.9 14 12.12 0 21.48 12.54
27.01.2023 09:56:00 14.4 13.9 14 12.12 0 21.48 12.55
27.01.2023 09:56:10 14.4 13.9 14 12.1 -0.003 21.48 12.55
27.01.2023 09:56:20 14.3 13.9 14 12.12 0.001 21.48 12.55
27.01.2023 09:56:30 14.3 13.9 14 12.12 -0.001 21.48 12.55
27.01.2023 09:56:40 14.3 13.9 14 12.11 -0.001 21.48 12.56
27.01.2023 09:56:48 14.3 13.9 14 12.11 0.003 21.48 12.56
27.01.2023 09:56:49 14.3 13.9 14 12.11 -0.003 21.48 12.56
27.01.2023 09:56:51 14.3 13.9 14 12.11 -0.003 21.48 12.56
27.01.2023 09:56:53 14.3 13.9 14 12.12 0.001 21.48 12.56
27.01.2023 09:56:55 14.3 13.9 14 12.12 0.001 21.48 12.56
27.01.2023 09:56:57 14.3 13.9 14 12.1 0.001 21.48 12.57
27.01.2023 09:56:59 14.3 13.9 14 11.82 0.001 21.48 12.57
27.01.2023 09:57:01 14.3 13.9 14 11.05 0.001 21.5 12.57
27.01.2023 09:57:03 14.3 13.9 14 11.06 0 21.5 12.57
27.01.2023 09:57:05 14.3 13.9 14 11.08 0 21.5 12.57
27.01.2023 09:57:07 14.3 13.9 14 11.11 0.003 21.5 12.57
27.01.2023 09:57:09 14.3 13.9 14 11.12 -0.003 21.5 12.57
27.01.2023 09:57:11 14.3 13.9 14 11.12 -0.003 21.5 12.57
27.01.2023 09:57:13 14.3 13.9 14 11.13 0.001 21.5 12.57
27.01.2023 09:57:15 14.3 13.9 14 11.15 0.001 21.5 12.57
27.01.2023 09:57:17 14.3 13.9 14 11.18 0.003 21.5 12.57
27.01.2023 09:57:19 14.3 13.9 14 11.18 -0.001 21.5 12.57
27.01.2023 09:57:21 14.3 13.9 14 11.19 0.001 21.5 12.57
27.01.2023 09:57:23 14.3 13.9 14 11.2 0 21.5 12.57
27.01.2023 09:57:25 14.3 13.9 14 11.18 -0.001 21.5 12.57
27.01.2023 09:57:27 14.3 13.9 14 11.18 -0.001 21.5 12.57
27.01.2023 09:57:29 14.3 13.9 14 11.2 -0.001 21.5 12.57
27.01.2023 09:57:31 14.3 13.9 14 11.2 0.001 21.49 12.57
27.01.2023 09:57:33 14.3 13.9 14 11.2 0.003 21.5 12.58
27.01.2023 09:57:35 14.3 13.9 14 11.21 0 21.5 12.58
27.01.2023 09:57:37 14.3 13.9 14 11.22 -0.001 21.5 12.58
27.01.2023 09:57:39 14.3 13.9 14 11.2 0 21.5 12.58
27.01.2023 09:57:41 14.3 13.9 14 11.2 0 21.5 12.58
27.01.2023 09:57:43 14.3 13.9 14 11.2 -0.001 21.5 12.58
27.01.2023 09:57:45 14.3 13.9 14 11.2 0 21.5 12.58
27.01.2023 09:57:47 14.3 13.9 14 11.22 -0.001 21.49 12.58
27.01.2023 09:57:49 14.3 13.9 14 11.21 -0.001 21.5 12.58
27.01.2023 09:57:51 14.3 13.9 14 11.2 0.001 21.5 12.58
27.01.2023 09:57:53 14.2 13.9 14 11.21 -0.001 21.5 12.58
27.01.2023 09:57:55 14.2 13.9 14 11.22 0.003 21.49 12.58
27.01.2023 09:57:57 14.2 13.9 14 11.22 0.003 21.49 12.58
27.01.2023 09:57:59 14.2 13.9 14 11.22 0.003 21.5 12.58
27.01.2023 09:58:01 14.2 13.9 14 11.21 -0.003 21.49 12.58
27.01.2023 09:58:03 14.2 13.9 14 11.21 -0.001 21.5 12.58
27.01.2023 09:58:05 14.2 13.9 14 11.22 0.003 21.5 12.58
27.01.2023 09:58:07 14.2 13.9 14 11.22 -0.003 21.5 12.58
27.01.2023 09:58:09 14.2 13.9 14 11.21 0.001 21.49 12.58
27.01.2023 09:58:11 14.2 13.9 14 11.21 0.001 21.5 12.58
27.01.2023 09:58:13 14.2 13.9 14 11.21 0.001 21.5 12.58
27.01.2023 09:58:15 14.2 13.9 14 11.22 -0.003 21.5 12.59
27.01.2023 09:58:17 14.2 13.9 14 11.21 -0.001 21.49 12.59
27.01.2023 09:58:19 14.2 13.9 14 11.21 0.001 21.5 12.59
27.01.2023 09:58:21 14.3 13.9 14 11.21 0.001 21.5 12.59
27.01.2023 09:58:23 14.3 13.9 14 11.2 0 21.49 12.59
27.01.2023 09:58:25 14.3 13.9 14 11.22 0.001 21.49 12.59
27.01.2023 09:58:27 14.3 13.9 14 11.22 0.001 21.49 12.59
27.01.2023 09:58:29 14.2 13.9 14 11.21 0.001 21.49 12.59
27.01.2023 09:58:31 14.2 13.9 14 11.22 0 21.49 12.59
27.01.2023 09:58:33 14.2 13.9 14 11.21 0 21.49 12.59
27.01.2023 09:58:35 14.2 13.9 14 11.22 0.003 21.49 12.59
27.01.2023 09:58:37 14.2 13.9 14 11.2 0.003 21.49 12.59
27.01.2023 09:58:39 14.3 13.9 14 11.2 -0.001 21.49 12.59
27.01.2023 09:58:41 14.2 13.9 14 11.22 -0.001 21.49 12.59
27.01.2023 09:58:43 14.2 13.9 14 11.22 -0.001 21.49 12.59
27.01.2023 09:58:45 14.2 13.9 14 11.21 -0.001 21.49 12.59
27.01.2023 09:58:47 14.3 13.9 14 11.21 0 21.49 12.59
27.01.2023 09:58:49 14.2 13.9 14 11.2 -0.001 21.49 12.59
27.01.2023 09:58:51 14.2 13.9 14 11.2 0 21.49 12.59
27.01.2023 09:58:53 14.2 13.9 14 11.21 -0.001 21.49 12.59
27.01.2023 09:58:55 14.2 13.9 14 11.21 -0.001 21.49 12.59
27.01.2023 09:58:57 14.2 13.9 14 11.2 0 21.49 12.59
27.01.2023 09:58:59 14.2 13.9 14 11.2 0 21.49 12.59
27.01.2023 09:59:01 14.2 13.9 14 11.21 -0.001 21.49 12.59
27.01.2023 09:59:03 14.2 13.9 14 11.2 -0.001 21.49 12.59
27.01.2023 09:59:05 14.2 13.9 14 11.2 0.001 21.49 12.6
27.01.2023 09:59:07 14.2 13.9 14 11.21 0.001 21.48 12.59
27.01.2023 09:59:09 14.2 13.9 14 11.2 0.001 21.48 12.6
27.01.2023 09:59:11 14.2 13.9 14 11.2 -0.001 21.48 12.6
27.01.2023 09:59:13 14.2 13.9 14 11.2 -0.001 21.48 12.6
27.01.2023 09:59:23 14.2 13.9 14 11.2 -0.003 21.49 12.6
27.01.2023 09:59:33 14.2 13.9 14.1 11.2 0.001 21.48 12.6
27.01.2023 09:59:43 14.2 13.9 14.1 11.19 0.001 21.48 12.6
